Dataset,Model,MSE,Train Time,Leaf Count
California Housing,LinearGAM,0.41061002124993984,0.30685997009277344,
California Housing,MTS,1.9471261716855366,0.04514884948730469,8.0
California Housing,MTS-TopK,0.3783113638738437,0.20340490341186523,8.0
California Housing,MTS-Depth,0.38478163252791536,0.5847568511962891,8.0
California Housing,GLMTree,0.37450279137005416,12.615650177001953,231.0
Diabetes,LinearGAM,4124.000232907696,0.03629112243652344,
Diabetes,MTS,3887.72235841187,0.005578041076660156,8.0
Diabetes,MTS-TopK,3927.9030589308986,0.05206012725830078,7.0
Diabetes,MTS-Depth,3928.645692786937,0.22651219367980957,8.0
Diabetes,GLMTree,3269.1070459148987,0.04349708557128906,2.0
